130853,4,11.102346,1
130858,4,10.549574,1
130863,4,9.985842,1
130869,4,9.702673,1
130875,4,9.250708,1
130881,4,8.444459,1
130886,4,7.288373,1
130892,4,7.026255,1
130897,4,6.158574,1
130903,4,5.706029,1
130908,4,5.318844,1
130914,4,5.052032,1
130919,4,4.029783,1
130925,4,4.657178,1
130930,4,5.047923,1
130936,4,5.251828,1
130941,4,5.788892,1
130947,4,5.090268,1
130952,4,5.548411,1
130958,4,4.933585,1
130963,4,5.292289,1
130969,4,5.902367,1
130974,4,6.765992,1
130980,4,7.781568,1
130985,4,8.714917,1
130991,4,8.995472,1
130996,4,9.222077,1
131002,4,9.886740,1
131007,4,10.165339,1
131013,4,11.116138,1
131018,4,11.315577,1
131024,4,11.807341,1
131029,4,12.540472,1
131034,4,12.542632,1
131040,4,12.433183,1
131046,4,12.907031,1
131051,4,13.142169,1
131057,4,13.083402,1
131062,4,12.937518,1
131068,4,12.884488,1
131073,4,13.599457,1
131079,4,13.578201,1
131084,4,13.293276,1
131090,4,12.683236,1
131095,4,12.079554,1
131101,4,12.251035,1
131106,4,13.260359,1
131112,4,12.831418,1
131118,4,13.055008,1
131123,4,12.744020,1
131128,4,13.178209,1
131134,4,13.089017,1
131139,4,12.624391,1
131145,4,12.024428,1
131150,4,12.053644,1
131156,4,12.300520,1
131161,4,11.625330,1
131167,4,12.448801,1
131172,4,11.799743,1
131178,4,11.672944,1
131183,4,11.468180,1
131189,4,11.979939,1
131194,4,11.761497,1
131200,4,11.809508,1
131206,4,11.676283,1
131212,4,11.660427,1
131217,4,10.625439,1
131223,4,10.603744,1
131229,4,11.013187,1
131234,4,11.106237,1
131240,4,11.102672,1
131245,4,11.625338,1
131250,4,11.875784,1
131256,4,11.938517,1
131262,4,12.170191,1
131267,4,12.080384,1
131273,4,12.222732,1
131279,4,11.582647,1
131284,4,12.352235,1
131290,4,12.366415,1
131295,4,12.662516,1
131301,4,12.326104,1
131307,4,12.649904,1
131313,4,13.327029,1
131318,4,13.492831,1
131324,4,14.196646,1
131330,4,14.316740,1
131335,4,14.611013,1
131341,4,14.266832,1
131346,4,14.746054,1
131352,4,15.232081,1
131357,4,15.488897,1
131362,4,16.014482,1
131368,4,16.234974,1
